iter	RMSE
0	1.692908802
1	1.65474333
2	1.618326171
3	1.583011353
4	1.551007348
5	1.520542717
6	1.492840512
7	1.468513058
8	1.447414953
9	1.425571726
10	1.405003163
11	1.386647312
12	1.368779793
13	1.355150316
14	1.341641718
15	1.328609548
16	1.315582467
17	1.30628504
18	1.293916003
19	1.284614611
20	1.272772841
21	1.263518863
22	1.252385182
23	1.245889063
24	1.239133294
25	1.231796961
26	1.226895605
27	1.220820447
28	1.215696413
29	1.210465931
30	1.204580173
31	1.197852311
32	1.192786833
33	1.18676281
34	1.18428896
35	1.180208974
36	1.173502343
37	1.167914356
38	1.163943895
39	1.15785945
40	1.153810508
41	1.149890435
42	1.144260895
43	1.140425793
44	1.134621832
45	1.129171106
46	1.125706371
47	1.121610403
48	1.11753652
49	1.114219256
50	1.111296814
51	1.107061925
52	1.099371376
53	1.095291195
54	1.09221952
55	1.087538234
56	1.084319952
57	1.079600765
58	1.076842402
59	1.073539455
60	1.07004286
61	1.067422661
62	1.061893835
63	1.06014811
64	1.055019858
65	1.052057323
66	1.049317014
67	1.044738953
68	1.042575176
69	1.041650925
70	1.037303736
71	1.034956918
72	1.031415602
73	1.03041303
74	1.027643539
75	1.024991539
76	1.023776196
77	1.019563687
78	1.017914919
79	1.01384433
80	1.008890252
81	1.005625933
82	1.004507562
83	1.002515951
84	1.000618444
85	0.99866597
86	0.9960522059
87	0.9919665759
88	0.9879809653
89	0.9853461541
90	0.981077236
91	0.9779141384
92	0.9750726337
93	0.9725842742
94	0.9712798158
95	0.9698310038
96	0.9666102896
97	0.9652470081
98	0.962234336
99	0.9608669034
100	0.9598399739
101	0.9585400556
102	0.9561677967
103	0.9533092376
104	0.9525479514
105	0.9491283909
106	0.9475110216
107	0.9433006592
108	0.9385184558
109	0.9377966741
110	0.9357603517
111	0.934329805
112	0.9317909147
113	0.9291606872
114	0.92685488
115	0.925417486
116	0.9244723838
117	0.9220220381
118	0.9192732569
119	0.9171285271
120	0.9148224046
121	0.9134392157
122	0.9106000339
123	0.9069301331
124	0.9053970827
125	0.9030610663
126	0.9019634059
127	0.8994806527
128	0.895599064
129	0.894654065
130	0.8916552254
131	0.8911581671
132	0.8886590505
133	0.8860813694
134	0.8844288525
135	0.8828102063
136	0.881291943
137	0.8801367421
138	0.878170322
139	0.8759028749
140	0.8709102085
141	0.8705610438
142	0.8701631956
143	0.8686399578
144	0.867789497
145	0.865937716
146	0.8640990695
147	0.8622785327
148	0.8603068614
149	0.8590652695
150	0.8574108921
151	0.8550605499
152	0.8532154808
153	0.8518546027
154	0.8495524756
155	0.8492224304
156	0.8487120759
157	0.8447256802
158	0.8408727211
159	0.8389708866
160	0.8378871776
161	0.8376528838
162	0.8366716046
163	0.8350968292
164	0.8340137021
165	0.8297838962
166	0.8295385818
167	0.8258248358
168	0.8243946701
169	0.8233979412
170	0.8220438114
171	0.8205506407
172	0.8202053842
173	0.819161909
174	0.8164686748
175	0.814369453
176	0.8140772674
177	0.8123497977
178	0.8120637925
179	0.8087340727
180	0.8084667673
181	0.8029501458
182	0.8011502599
183	0.7995141828
184	0.7941327602
185	0.7925819953
186	0.7923155573
187	0.7906897862
188	0.7894461456
189	0.7885139596
190	0.7871110065
191	0.7864971675
192	0.785976193
193	0.7827393355
194	0.7812167022
195	0.7791986931
196	0.7783983235
197	0.7775345935
198	0.7761345777
199	0.7746666429
200	0.7741108377
201	0.7738909507
202	0.7725780831
203	0.767461386
204	0.7663321734
205	0.7617596101
206	0.7571686896
207	0.7554942912
208	0.7542824852
209	0.7527185458
210	0.7515501668
211	0.7508895032
212	0.7493553507
213	0.747548217
214	0.7461041705
215	0.7442903577
216	0.7435679519
217	0.7427841711
218	0.7412634566
219	0.739702415
220	0.7379555642
221	0.7370112505
222	0.7323287098
223	0.7313838674
224	0.7259847565
225	0.7254304907
226	0.7242805258
227	0.7213896893
228	0.7188891225
229	0.7152093057
230	0.7137276911
231	0.7132099534
232	0.7091335579
233	0.7081595562
234	0.704841336
235	0.7044274824
236	0.7022277321
237	0.7006891515
238	0.6967206897
239	0.6965238275
240	0.6954202592
241	0.6952016598
242	0.6940053535
