iter	RMSE
243	0.6921691966
244	0.6908325725
245	0.6896783842
246	0.687849111
247	0.6871848731
248	0.6857173008
249	0.6843850549
250	0.6831959294
251	0.678914629
252	0.6757729354
253	0.675554801
254	0.6728657947
255	0.6726959157
256	0.6702011967
257	0.6699226066
258	0.6659942897
259	0.665035169
260	0.6637765317
261	0.6615570007
262	0.6613950835
263	0.6589647001
264	0.6563766366
265	0.656232648
266	0.6555479252
267	0.6512920658
268	0.6481396055
269	0.6473275141
270	0.6464141164
271	0.6454206064
272	0.6420420994
273	0.6407606786
274	0.6392793195
275	0.6363903581
276	0.6355061024
277	0.632370291
278	0.6295013416
279	0.6293490064
280	0.6290944386
281	0.626033476
282	0.6249726901
283	0.6234623908
284	0.6203910172
285	0.616571061
286	0.6162484328
287	0.6137444961
288	0.6126936291
289	0.6117608203
290	0.6114471905
291	0.6108575895
292	0.6079475644
293	0.6048093033
294	0.603220903
295	0.5999276366
296	0.5969733601
297	0.5962935627
298	0.5952787469
299	0.5937763761
300	0.5922326535
301	0.5917990501
302	0.5907073144
303	0.5886596029
304	0.5855774703
305	0.5854931769
306	0.5828508281
307	0.5800840079
308	0.5793880487
309	0.5766057004
310	0.5756891813
311	0.572877399
312	0.5715435064
313	0.5698832267
314	0.5684769807
315	0.5666797401
316	0.5661799767
317	0.5647713227
318	0.5626378796
319	0.5612422823
320	0.5607474045
321	0.5599913144
322	0.5587102443
323	0.5578979981
324	0.556349453
325	0.555472189
326	0.5526918689
327	0.5511498171
328	0.5494051696
329	0.5464288145
330	0.5448304922
331	0.5433825268
332	0.543069752
333	0.5423532418
334	0.5396606336
335	0.5388460216
336	0.5380403115
337	0.5370795883
338	0.5349116218
339	0.5336865919
340	0.5329726219
341	0.5307596999
342	0.5302508169
343	0.529644163
344	0.5288475736
345	0.5279121729
346	0.5258479791
347	0.5251414886
348	0.5245479783
349	0.5237600269
350	0.5218696461
351	0.5212592869
352	0.5200414639
353	0.5181620619
354	0.5173914479
355	0.5159101307
356	0.5149872803
357	0.5140530466
358	0.5139280979
359	0.5131992033
360	0.5112855348
361	0.5088037886
362	0.5084780969
363	0.5059741913
364	0.5043074303
365	0.503191276
366	0.50166673
367	0.5001163835
368	0.4985483963
369	0.4972555277
370	0.4962426723
371	0.4961169854
372	0.4954758201
373	0.4949186188
374	0.4930868716
375	0.492408392
376	0.4911945922
377	0.4903551722
378	0.4888640075
379	0.4875168359
380	0.4856661697
381	0.4849281482
382	0.4832149186
383	0.4825807497
384	0.482090364
385	0.4815047454
386	0.4798297221
387	0.4790074357
388	0.478544316
389	0.4780050107
390	0.4774822959
391	0.4749672919
392	0.4744449553
393	0.4734170331
394	0.4728204759
395	0.4709073337
396	0.4697846732
397	0.4674782978
398	0.4660695407
399	0.4648082754
400	0.4643275465
401	0.4624464549
402	0.4616966977
403	0.4601908373
404	0.4597302322
405	0.4593144462
406	0.4579596382
407	0.4572679095
408	0.4558144489
409	0.4540850819
410	0.4531261249
411	0.452549295
412	0.4515110588
413	0.4506401649
414	0.4495104521
415	0.4473386797
416	0.4458117348
417	0.4451924971
418	0.4451010283
419	0.4432255573
420	0.4423176947
421	0.4405617082
422	0.4387008254
423	0.437185714
424	0.4362184758
425	0.4354153454
426	0.4348789267
427	0.4343860672
428	0.4329022578
429	0.4323178838
430	0.4310799022
431	0.430556678
432	0.4298891294
433	0.4289881789
434	0.4280554275
435	0.4275075522
436	0.426580369
437	0.426472601
438	0.424434438
439	0.4239132365
440	0.4227424726
441	0.4225723831
442	0.4220647134
443	0.4218142586
444	0.4206457929
445	0.419684567
446	0.4182815415
447	0.4171780165
448	0.4167422489
449	0.4164141098
450	0.4151719588
451	0.4140964493
452	0.4135477778
453	0.4128758236
454	0.4117421457
455	0.41025761
456	0.4096055296
457	0.4080790576
458	0.4071281023
459	0.4060896037
460	0.4054974968
461	0.4048601224
462	0.4040916798
463	0.4024890748
464	0.4018669454
465	0.4011060864
466	0.4001394544
467	0.3990220929
468	0.3974330302
469	0.3965432051
470	0.3954357561
471	0.3948779014
472	0.3935372403
473	0.3925843054
474	0.3918434601
475	0.3910727939
476	0.3907162025
477	0.390144637
478	0.3890280499
479	0.3885376814
480	0.3874062837
481	0.3864979328
482	0.3851500613
483	0.3839005175
484	0.3831674735
485	0.38221297
486	0.3819076774
487	0.3813694444
488	0.3801722757
489	0.3799871763
490	0.3783878258
491	0.3775851725
492	0.3773157786
493	0.3768770607
494	0.3763982835
495	0.3756448523
496	0.3754935652
497	0.3745083312
498	0.3739642916
499	0.3737715748
